mach,sodt,thoigianmoban,version,matp
51,(730) 245-9710,2023-06-11 08:52:15.058000,0,18
52,(305) 292-7590,2021-10-01 03:01:13.725000,0,18
53,(730) 227-1757,2023-09-28 11:11:55.645000,0,18
54,(505) 714-3740,2020-05-25 05:37:04.553000,0,18
55,(505) 648-3916,2020-09-01 22:04:36.341000,0,18
56,(983) 294-8003,2024-08-10 17:16:47.199000,0,18
57,(505) 583-7722,2020-11-24 04:45:44.324000,0,18
58,(854) 841-6655,2022-04-01 07:29:54.175000,0,18
59,(305) 423-6002,2021-02-05 13:47:03.484000,0,18
60,(505) 464-3613,2021-02-25 18:46:27.633000,0,18
61,(341) 971-1881,2021-06-15 16:29:21.581000,0,18
62,(505) 212-9927,2023-01-07 17:14:26.052000,0,18
63,(730) 671-6849,2020-12-14 17:52:08.242000,0,18
64,(657) 713-2075,2022-07-03 15:54:45.523000,0,18
65,(730) 221-8355,2021-11-20 02:50:49.971000,0,18
66,(332) 506-8821,2023-04-26 14:34:57.276000,0,18
67,(730) 608-4522,2021-05-16 07:43:31.532000,0,18
68,(480) 752-4881,2024-04-08 18:16:44.831000,0,18
69,(929) 328-1643,2024-05-22 17:52:55.008000,0,18
70,(562) 325-0380,2020-05-20 16:21:19.376000,0,18
71,(283) 713-2736,2021-01-06 05:33:10.274000,0,18
72,(305) 201-4473,2021-04-05 07:14:45.021000,0,18
73,(505) 648-3633,2023-08-31 22:11:38.073000,0,18
74,(305) 201-9210,2021-07-15 09:34:46.304000,0,18
75,(730) 205-4242,2022-07-22 20:09:11.568000,0,18
76,(505) 661-8007,2022-07-31 18:45:30.559000,0,18
77,(730) 227-2681,2022-10-10 00:17:01.361000,0,18
78,(472) 209-8948,2022-09-12 18:04:19.672000,0,18
79,(346) 304-4962,2021-12-30 02:32:16.614000,0,18
80,(832) 360-5223,2024-12-08 23:34:11.474000,0,18
81,(730) 243-1883,2020-05-14 17:42:14.607000,0,18
82,(983) 868-4696,2021-09-04 11:21:45.227000,0,18
83,(283) 762-6333,2022-06-28 11:14:15.313000,0,18
84,(864) 209-7961,2023-11-12 22:16:53.759000,0,18
10080,(305) 279-6871,2023-09-29 20:29:02.082000,0,24
10081,(305) 811-8196,2022-12-10 05:27:03.541000,0,24
10082,(971) 717-0470,2023-10-07 19:13:43.339000,0,24
10083,(505) 318-5383,2020-08-13 21:24:56.295000,0,24
10084,(458) 677-4772,2021-04-07 18:47:59.232000,0,24
10085,(305) 227-4258,2022-08-01 18:38:21.296000,0,24
10086,(505) 601-5855,2023-02-01 20:22:25.327000,0,24
10087,(220) 353-8460,2024-05-05 07:19:37.531000,0,24
10088,(305) 202-9494,2022-08-03 16:22:23.096000,0,24
10089,(972) 270-3106,2020-11-04 21:57:23.229000,0,24
10090,(983) 494-7018,2022-06-21 08:33:22.660000,0,24
10091,(864) 836-6380,2023-06-17 21:39:23.197000,0,24
10092,(505) 201-8884,2020-05-22 02:59:05.945000,0,24
10093,(305) 462-1568,2023-12-10 16:37:12.326000,0,24
10094,(305) 546-8861,2020-02-10 16:08:42.306000,0,24
10095,(970) 446-2035,2021-07-07 05:30:51.611000,0,24
10096,(505) 690-3079,2023-09-23 01:12:02.088000,0,24
10097,(505) 485-6474,2023-08-13 09:18:38.537000,0,24
10098,(730) 691-0401,2024-06-19 19:39:17.835000,0,24
10099,(730) 205-2751,2021-02-06 11:45:23.163000,0,24
10100,(305) 264-2232,2022-03-28 22:59:07.191000,0,24
10101,(983) 819-3823,2020-12-03 16:24:05.833000,0,24
10102,(730) 656-1250,2022-07-20 19:21:58.656000,0,24
10103,(305) 203-3142,2020-11-19 06:19:25.644000,0,24
10104,(959) 241-3947,2023-09-14 09:10:24.179000,0,24
10105,(983) 983-0211,2022-03-14 11:44:50.441000,0,24
10106,(202) 643-8168,2022-06-14 11:26:21.342000,0,24
10107,(472) 205-1565,2023-10-31 13:35:39.454000,0,24
10108,(983) 906-7409,2022-02-10 11:08:40.349000,0,24
10109,(717) 902-2925,2021-03-24 19:03:33.035000,0,24
10110,(472) 484-6603,2021-09-01 11:54:07.117000,0,24
10111,(934) 290-8611,2023-04-23 02:39:34.241000,0,24
10112,(706) 824-8823,2020-07-14 17:29:00.324000,0,24
10113,(323) 464-4310,2022-04-24 07:01:11.171000,0,24
10114,(757) 643-9549,2023-12-10 22:16:46.942000,0,24
10115,(983) 970-0547,2022-09-01 05:29:59.679000,0,24
10116,(505) 394-2359,2020-11-12 14:12:35.793000,0,24
10117,(464) 367-9966,2022-10-31 11:57:06.052000,0,24
10118,(350) 638-2134,2022-09-29 05:49:52.128000,0,24
10119,(305) 540-8672,2024-01-04 21:56:19.294000,0,24
10120,(956) 657-7523,2023-02-24 04:26:28.229000,0,24
10121,(730) 226-8153,2020-08-01 07:31:38.728000,0,24
10122,(305) 202-6172,2023-08-13 08:34:57.516000,0,24
10123,(661) 544-6761,2023-06-30 12:42:06.790000,0,24
10124,(305) 325-3115,2021-12-13 15:23:55.382000,0,24
10125,(305) 380-1282,2021-05-14 07:08:08.171000,0,24
10126,(305) 517-4502,2024-07-06 08:19:48.918000,0,24
10127,(363) 587-2146,2020-09-11 14:41:31.165000,0,24
10128,(269) 495-1161,2020-04-08 08:00:35.482000,0,24
10129,(309) 869-3789,2021-10-31 08:00:21.157000,0,24
10130,(505) 693-7227,2021-09-20 12:33:51.005000,0,24
10131,(983) 700-3140,2021-10-05 02:52:21.830000,0,24
10132,(631) 975-9831,2024-09-28 09:14:06.016000,0,24
10133,(575) 995-8815,2023-08-07 23:08:31.981000,0,24
10134,(983) 280-9922,2023-06-22 06:36:26.727000,0,24
10135,(730) 215-9891,2023-09-02 03:33:36.985000,0,24
10136,(305) 849-6591,2020-12-05 13:25:25.058000,0,24
10137,(305) 206-6216,2024-09-11 05:22:58.168000,0,24
10138,(730) 236-0187,2024-06-20 16:33:24.312000,0,24
10139,(730) 239-0085,2021-12-13 21:37:39.031000,0,24
10140,(983) 359-8760,2020-07-19 21:58:30.625000,0,24
10141,(329) 612-0738,2020-06-28 04:27:47.782000,0,24
10142,(505) 848-4913,2021-07-12 05:25:14.758000,0,24
10143,(931) 878-1532,2024-02-20 03:20:11.093000,0,24
10144,(305) 201-5171,2020-12-27 14:06:24.842000,0,24
10145,(730) 209-3280,2024-11-22 11:55:16.075000,0,24
10146,(505) 652-9918,2024-05-26 04:30:46.277000,0,24
10147,(730) 201-8493,2022-03-11 18:52:20.311000,0,24
10148,(305) 204-2680,2024-10-24 18:52:27.190000,0,24
10149,(472) 273-5611,2023-10-08 16:17:20.057000,0,24
10150,(540) 316-0857,2024-12-13 12:49:30.653000,0,24
10151,(305) 217-3542,2020-07-29 18:36:13.208000,0,24
10152,(505) 433-9674,2021-09-07 05:31:50.416000,0,24
10153,(505) 648-2278,2021-03-27 20:59:34.203000,0,24
10154,(305) 297-7455,2020-04-30 17:19:53.681000,0,24
10155,(305) 563-9803,2022-05-01 06:34:22.160000,0,24
10156,(505) 206-9957,2023-03-30 19:24:17.425000,0,24
10157,(575) 731-1469,2020-11-22 09:06:13.521000,0,24
10158,(860) 631-8839,2023-04-13 15:08:26.065000,0,24
10159,(304) 768-5634,2021-10-20 03:42:29.492000,0,24
10160,(505) 463-1419,2024-12-28 13:56:18.679000,0,24
10161,(505) 995-4328,2021-01-10 07:44:38.158000,0,24
